name	name_ru	card_title	card_title_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	platform	ignore
Corpus of the Russian dialect spoken in the villages of the Middle Pinega	Корпус говоров Средней Пинеги	Middle Pinega dialects 	Говоры  среднего течения Пинеги 	https://lingconlab.ru/pinega/	corpus	корпус	dialectal	диалектный	Zanyukhcha	Занюхча	63.43472	46.54139	Russian	43270	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Pinega	Корпус говоров Средней Пинеги	Middle Pinega dialects 	Говоры  среднего течения Пинеги 	https://lingconlab.ru/pinega/	corpus	корпус	dialectal	диалектный	Lavela	Лавела	63.63344	45.52426	Russian	43270	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Pinega	Корпус говоров Средней Пинеги	Middle Pinega dialects 	Говоры  среднего течения Пинеги 	https://lingconlab.ru/pinega/	corpus	корпус	dialectal	диалектный	Yavzora	Явзора	63.71437	45.41804	Russian	43270	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Pinega	Корпус говоров Средней Пинеги	Middle Pinega dialects 	Говоры  среднего течения Пинеги 	https://lingconlab.ru/pinega/	corpus	корпус	dialectal	диалектный	Kevrola	Кеврола	63.95333	44.51	Russian	43270	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Pinega	Корпус говоров Средней Пинеги	Middle Pinega dialects 	Говоры  среднего течения Пинеги 	https://lingconlab.ru/pinega/	corpus	корпус	dialectal	диалектный	Vaymusha	Ваймуша	63.971728	44.513615	Russian	43270	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Pyoza	Корпус говора Средней Пёзы	Middle Pyoza dialect	Говор Средней Пёзы	https://lingconlab.ru/pyoza/	corpus	корпус	dialectal	диалектный	Moseyevo	Мосеево	65.79154042	46.15583678	Russian	79566	spoco	
Corpus of the Russian dialect spoken in Tserkovnoe	Корпус говора села Церковное	Tserkovnoe dialect	Говор с. Церковное	https://lingconlab.ru/tserkovnoe/	corpus	корпус	dialectal	диалектный	Niz	Низ	62.66236876	41.35828599	Russian	39469	spoco	
Luzhnikovo Corpus	Лужниковский корпус	Luzhnikovo dialect	Лужниковский говор	https://lingconlab.ru/luzhnikovo/	corpus	корпус	dialectal	диалектный	Luzhnikovo	Лужниково	57.40276341	34.13254462	Russian	68666	spoco	
Svishni and Trostnoe Corpus 	Корпус сёл Свишни и Тростное	Svishni and Trostnoe dialects	Говор сёл Свишни и Тростное	https://lingconlab.ru/yelets/	corpus	корпус	dialectal	диалектный	Svishni	Свишни	52.46194	38.26556	Russian	24414	spoco	
Svishni and Trostnoe Corpus 	Корпус сёл Свишни и Тростное	Svishni and Trostnoe dialects	Говор сёл Свишни и Тростное	https://lingconlab.ru/yelets/	corpus	корпус	dialectal	диалектный	Svishni	Свишни	52.698905	38.374125	Russian	24414	spoco	
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи	https://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Vadyuga	Вадюга	62.68166952	46.49360741	Russian	70803	spoco	
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи	https://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Tineva	Тинева	62.94220939	46.13215149	Russian	70803	spoco	
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи	https://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Zaytsevo	Зайцево	62.93915634	46.42674763	Russian	70803	spoco	
Upper Pinega and Vyya Corpus	Корпус говора верхней Пинеги и Выи	Upper Pinega and Vyya river basins dialect	Говор верхней Пинеги и Выи	https://lingconlab.ru/vaduga/	corpus	корпус	dialectal	диалектный	Podolskaya	Подольская	62.94455674	46.37503928	Russian	70803	spoco	
Ustja River Basin Corpus	Корпус устьянских говоров	Ustja River Basin dialects	Устьянские говоры	http://www.parasolcorpus.org/Pushkino/	corpus	корпус	dialectal	диалектный	Mikhalevskaya	Михалёвская	61.50111116	42.65695604	Russian	959782	spoco	
Dictionary of Dargwa languages	Словарь даргинских языков	Dargwa varieties	Даргинские языки	https://lingconlab.ru/dargwa_dict/	dictionary	словарь	dictionary	словарь	NA	NA	42.4257	47.4388	Nuclear North Dargwa	7917	other	
Dictionary of the Mehweb language	Словарь мегебского языка	Mehweb Dargwa	Мегебский даргинский	https://lingconlab.ru/MehwebDict/	dictionary	словарь	dictionary	словарь	Megeb	Мегеб	42.2568	47.0512	Megeb	1132	other	
Dictionary of the Rutul language	Словарь рутульского языка	Rutul	Рутульский	https://linghub.ru/rutuldict/	dictionary	словарь	dictionary	словарь	Kina	Кина	41.6186	47.2667	Rutul	738	other	ignore
Dictionary of the Tukita language	Словарь тукитинского языка	Tukita	Тукитинский	https://lingconlab.ru/TukitaDict/	dictionary	словарь	dictionary	словарь	Tukita	Тукита	42.57076	46.37298	Karata	1175	other	
Dictionary of the Khwarshi language	Словарь хваршинского языка	Khwarshi	Хваршинский	https://lingconlab.github.io/Khwarshi_dictionary/	dictionary	словарь	dictionary	словарь	Khwarshi	Хварши	42.352452	46.106436	Khwarshi-Inkhoqwari	10291	other	
Digital digtionary of Greek and Polish borowings XI-XVII	Электронный словарь грецизмов и полонизмов XI-XVII вв.			https://lingconlab.ru/EDGrPol/	dictionary	словарь	dictionary	словарь							other	ignore
